College/University,US World Ranking,School Type,Region,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible
Abilene Christian University,18,Regional,South,510,640,510,610,1020,1250,22,27,
Adelphi University,146,National,Mid-Atlantic,560,660,540,640,1100,1300,19,25,
Agnes Scott College,70,LAC,South,610,720,540,660,1150,1380,24,29,TO
Albion College,122,LAC,Midwest,540,640,460,590,1000,1230,22,27,
Allegheny College,77,LAC,Mid-Atlantic,580,690,550,680,1130,1320,22,29,TO
American University,74,National,Mid-Atlantic,640,720,580,670,1220,1390,26,30,TO
Amherst College,2,LAC,New England,720,780,710,790,1430,1570,31,34,
Appalachian State University,8,Regional,South,570,660,560,640,1130,1300,23,28,
Arizona State University,129,National,West,560,680,550,660,1110,1340,23,28,TO
Auburn University,99,National,South,580,690,570,670,1150,1360,24,30,
Augustana College,99,LAC,Midwest,580,690,540,720,1120,1410,23,28,TO
Austin College,105,LAC,South,580,690,570,660,1150,1350,22,28,TO
Babson College,NA,Business,New England,640,730,640,750,1280,1480,27,30,
Baldwin Wallace College,15,Regional,Midwest,520,650,510,620,1030,1270,20,27,TO
Bard College,49,LAC,Mid-Atlantic,640,740,590,710,1230,1450,NA,NA,TO
Barnard College,27,LAC,Mid-Atlantic,690,760,640,750,1330,1510,29,32,
Bates College,27,LAC,New England,650,740,620,730,1270,1470,28,32,TO
Baylor University,71,National,South,600,690,600,700,1200,1390,25,30,
Beloit College,62,LAC,Midwest,580,740,570,670,1150,1410,24,30,TO
Bennington College,90,LAC,New England,640,740,570,700,1210,1440,26,31,TO
Bentley University,3,Regional,New England,600,690,620,720,1220,1410,26,30,
Berea College,60,LAC,South,580,670,550,640,1130,1310,22,26,
Berry College,7,Regional,South,580,670,550,630,1130,1300,24,29,
SUNY at Binghamton,86,National,Mid-Atlantic,650,710,650,730,1300,1440,27,31,
Biola University,164,National,West,550,670,520,640,1070,1310,21,28,
Birmingham Southern College,132,LAC,South,520,640,510,640,1030,1280,21,25,TO
Boston College,31,National,New England,680,750,660,770,1340,1520,30,33,
Boston University,39,National,New England,650,720,640,760,1290,1480,27,31,
Bowdoin College,6,LAC,New England,730,780,720,780,1450,1560,31,34,TO
Bradley University,6,Regional,Midwest,540,670,550,670,1090,1340,23,28,
