ID,School,School Type,Region,US World Ranking,Acceptance Rate,Average GPA,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,SAT 25,SAT 75,ACT 25,ACT 75,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible,State,Link
9,Stanford University,National,West,5.0,0.05,4.18,730.0,790.0,730.0,800.0,1460.0,1590.0,1460,1590,31,35,31.0,35.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/stanford-university/admission/
3,Harvard University,National,New England,2.0,0.06,4.04,740.0,800.0,740.0,800.0,1470.0,1600.0,1470,1600,32,35,32.0,35.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/harvard-university/admission/
1355,The Juilliard School,,,,0.06,-,,,,,,,-,-,-,-,,,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/the-juilliard-school/admission/
1,Yale University,National,New England,4.0,0.07,-,740.0,800.0,740.0,800.0,1480.0,1600.0,1480,1600,31,35,31.0,35.0,,Connecticut,http://www.collegesimply.com/guides/admission-data//colleges/connecticut/yale-university/admission/
5,Princeton University,National,Mid-Atlantic,1.0,0.07,3.87,730.0,800.0,730.0,800.0,1460.0,1600.0,1460,1600,32,35,32.0,35.0,,New Jersey,http://www.collegesimply.com/guides/admission-data//colleges/new-jersey/princeton-university/admission/
6,Columbia University in the City of New York,National,Mid-Atlantic,5.0,0.07,-,730.0,800.0,730.0,800.0,1460.0,1600.0,1450,1590,31,35,32.0,35.0,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/columbia-university-in-the-city-of-new-york/admission/
2,University of Chicago,National,Midwest,3.0,0.08,4.0,740.0,800.0,750.0,800.0,1490.0,1600.0,1490,1600,32,35,32.0,35.0,,Illinois,http://www.collegesimply.com/guides/admission-data//colleges/illinois/university-of-chicago/admission/
4,Massachusetts Institute of Technology,National,New England,7.0,0.08,-,720.0,790.0,770.0,800.0,1490.0,1590.0,1490,1590,33,35,33.0,35.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/massachusetts-institute-of-technology/admission/
8,Brown University,National,New England,14.0,0.09,-,720.0,790.0,720.0,790.0,1440.0,1580.0,1440,1580,31,34,31.0,34.0,,Rhode Island,http://www.collegesimply.com/guides/admission-data//colleges/rhode-island/brown-university/admission/
11,California Institute of Technology,National,West,12.0,0.09,-,750.0,800.0,780.0,800.0,1530.0,1600.0,1530,1600,34,35,34.0,35.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/california-institute-of-technology/admission/
254,United States Naval Academy,LAC,Mid-Atlantic,12.0,0.09,-,620.0,720.0,630.0,730.0,1250.0,1450.0,1250,1430,-,-,,,,Maryland,http://www.collegesimply.com/guides/admission-data//colleges/maryland/united-states-naval-academy/admission/
0,Pomona College,LAC,West,7.0,0.1,-,710.0,780.0,720.0,780.0,1430.0,1560.0,1430,1560,30,34,30.0,34.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/pomona-college/admission/
7,University of Pennsylvania,National,Mid-Atlantic,8.0,0.1,3.9,720.0,780.0,730.0,800.0,1450.0,1580.0,1450,1580,31,34,31.0,34.0,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/university-of-pennsylvania/admission/
55,United States Military Academy,LAC,Mid-Atlantic,19.0,0.1,-,620.0,720.0,620.0,720.0,1240.0,1440.0,1260,1450,26,31,27.0,32.0,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/united-states-military-academy/admission/
27,Claremont McKenna College,LAC,West,9.0,0.11,-,720.0,770.0,700.0,790.0,1420.0,1560.0,1420,1560,29,33,29.0,33.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/claremont-mckenna-college/admission/
21,Duke University,National,South,8.0,0.11,-,720.0,780.0,720.0,800.0,1440.0,1580.0,1440,1580,31,34,31.0,34.0,,North Carolina,http://www.collegesimply.com/guides/admission-data//colleges/north-carolina/duke-university/admission/
19,Dartmouth College,National,New England,11.0,0.11,-,710.0,790.0,700.0,790.0,1410.0,1580.0,1410,1580,30,34,30.0,34.0,,New Hampshire,http://www.collegesimply.com/guides/admission-data//colleges/new-hampshire/dartmouth-college/admission/
10,Franklin W. Olin College of Engineering,,,,0.11,3.9,,,,,,,1490,1590,32,35,,,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/franklin-w.-olin-college-of-engineering/admission/
22,Swarthmore College,LAC,Mid-Atlantic,4.0,0.12,-,710.0,780.0,710.0,780.0,1420.0,1560.0,1410,1550,30,34,29.0,34.0,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/swarthmore-college/admission/
23,Vanderbilt University,National,South,15.0,0.12,3.76,730.0,790.0,750.0,800.0,1480.0,1590.0,1480,1590,32,35,32.0,35.0,,Tennessee,http://www.collegesimply.com/guides/admission-data//colleges/tennessee/vanderbilt-university/admission/
237,College of the Ozarks,,,,0.12,-,,,,,,,1060,1150,21,25,,,,Missouri,http://www.collegesimply.com/guides/admission-data//colleges/missouri/college-of-the-ozarks/admission/
28,Harvey Mudd College,LAC,West,21.0,0.13,-,710.0,770.0,760.0,800.0,1470.0,1570.0,1470,1570,32,35,33.0,35.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/harvey-mudd-college/admission/
1218,Pitzer College,LAC,West,32.0,0.13,3.85,660.0,760.0,650.0,750.0,1310.0,1510.0,-,-,-,-,29.0,32.0,TO,California,http://www.collegesimply.com/guides/admission-data//colleges/california/pitzer-college/admission/
13,Northwestern University,National,Midwest,12.0,0.13,-,740.0,780.0,740.0,800.0,1480.0,1580.0,1460,1580,31,34,31.0,34.0,,Illinois,http://www.collegesimply.com/guides/admission-data//colleges/illinois/northwestern-university/admission/
15,Johns Hopkins University,National,Mid-Atlantic,10.0,0.14,3.74,730.0,780.0,740.0,800.0,1470.0,1580.0,1430,1560,32,34,32.0,34.0,,Maryland,http://www.collegesimply.com/guides/admission-data//colleges/maryland/johns-hopkins-university/admission/
16,Amherst College,LAC,New England,2.0,0.14,-,720.0,780.0,710.0,790.0,1430.0,1570.0,1430,1570,31,34,31.0,34.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/amherst-college/admission/
1276,Bowdoin College,LAC,New England,6.0,0.15,-,730.0,780.0,720.0,780.0,1450.0,1560.0,-,-,-,-,31.0,34.0,TO,Maine,http://www.collegesimply.com/guides/admission-data//colleges/maine/bowdoin-college/admission/
1395,College of Mount St. Joseph,,,,0.15,3.2,,,,,,,-,-,-,-,,,,Ohio,http://www.collegesimply.com/guides/admission-data//colleges/ohio/college-of-mount-st.-joseph/admission/
20,Cornell University,National,Mid-Atlantic,15.0,0.15,-,700.0,780.0,710.0,790.0,1410.0,1570.0,1390,1550,30,34,30.0,34.0,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/cornell-university/admission/
30,Tufts University,National,New England,27.0,0.16,-,720.0,770.0,720.0,780.0,1440.0,1550.0,1440,1550,30,33,30.0,33.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/tufts-university/admission/
24,Rice University,National,South,15.0,0.16,-,720.0,780.0,740.0,800.0,1460.0,1580.0,1460,1580,32,35,32.0,35.0,,Texas,http://www.collegesimply.com/guides/admission-data//colleges/texas/rice-university/admission/
26,University of California Los Angeles,National,West,24.0,0.17,4.29,640.0,750.0,630.0,780.0,1270.0,1530.0,1260,1530,28,33,25.0,33.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/university-of-california-los-angeles/admission/
25,University of California Berkeley,National,West,20.0,0.17,3.86,670.0,760.0,660.0,780.0,1330.0,1540.0,1330,1550,30,34,29.0,34.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/university-of-california-berkeley/admission/
33,Middlebury College,LAC,New England,4.0,0.17,-,690.0,770.0,660.0,760.0,1350.0,1540.0,1350,1540,29,33,29.0,33.0,TF,Vermont,http://www.collegesimply.com/guides/admission-data//colleges/vermont/middlebury-college/admission/
12,Georgetown University,National,Mid-Atlantic,20.0,0.17,-,700.0,780.0,690.0,770.0,1390.0,1550.0,1380,1530,30,34,30.0,34.0,,District Of Columbia,http://www.collegesimply.com/guides/admission-data//colleges/district-of-columbia/georgetown-university/admission/
1222,Colorado College,LAC,West,24.0,0.17,-,680.0,740.0,640.0,740.0,1320.0,1480.0,-,-,-,-,28.0,32.0,TF,Colorado,http://www.collegesimply.com/guides/admission-data//colleges/colorado/colorado-college/admission/
18,Washington University in St Louis,National,South,19.0,0.17,-,730.0,780.0,740.0,800.0,1470.0,1580.0,1470,1580,32,34,32.0,34.0,,Missouri,http://www.collegesimply.com/guides/admission-data//colleges/missouri/washington-university-in-st-louis/admission/
250,United States Air Force Academy,National,West,32.0,0.17,3.88,650.0,730.0,650.0,730.0,1300.0,1460.0,1300,1450,29,32,28.0,33.0,,Colorado,http://www.collegesimply.com/guides/admission-data//colleges/colorado/united-states-air-force-academy/admission/
29,University of Southern California,National,West,23.0,0.18,3.73,680.0,760.0,670.0,780.0,1350.0,1540.0,1350,1540,30,33,30.0,33.0,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/university-of-southern-california/admission/
17,Williams College,LAC,New England,1.0,0.18,-,710.0,790.0,700.0,780.0,1410.0,1570.0,1400,1570,31,34,31.0,34.0,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/williams-college/admission/
251,United States Coast Guard Academy,Regional,New England,2.0,0.2,3.79,620.0,700.0,630.0,720.0,1250.0,1420.0,1250,1420,26,31,26.0,31.0,,Connecticut,http://www.collegesimply.com/guides/admission-data//colleges/connecticut/united-states-coast-guard-academy/admission/
14,University of Notre Dame,National,Midwest,15.0,0.2,-,700.0,770.0,710.0,780.0,1410.0,1550.0,1410,1550,32,34,32.0,34.0,,Indiana,http://www.collegesimply.com/guides/admission-data//colleges/indiana/university-of-notre-dame/admission/
973,Southern University at New Orleans,,,,0.21,-,,,,,,,620,990,15,18,,,,Louisiana,http://www.collegesimply.com/guides/admission-data//colleges/louisiana/southern-university-at-new-orleans/admission/
705,Chicago State University,,,,0.21,-,,,,,,,1010,1150,16,20,,,,Illinois,http://www.collegesimply.com/guides/admission-data//colleges/illinois/chicago-state-university/admission/
838,Fort Valley State University,,,,0.21,-,,,,,,,860,1030,16,20,,,,Georgia,http://www.collegesimply.com/guides/admission-data//colleges/georgia/fort-valley-state-university/admission/
39,Carleton College,LAC,Midwest,7.0,0.21,-,700.0,770.0,690.0,780.0,1390.0,1550.0,1390,1550,29,33,29.0,33.0,,Minnesota,http://www.collegesimply.com/guides/admission-data//colleges/minnesota/carleton-college/admission/
1338,American Musical and Dramatic Academy,,,,0.22,-,,,,,,,-,-,-,-,,,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/american-musical-and-dramatic-academy/admission/
203,Liberty University,,,,0.22,3.37,,,,,,,1010,1260,20,27,,,,Virginia,http://www.collegesimply.com/guides/admission-data//colleges/virginia/liberty-university/admission/
1275,Bates College,LAC,New England,27.0,0.22,-,650.0,740.0,620.0,730.0,1270.0,1470.0,-,-,-,-,28.0,32.0,TO,Maine,http://www.collegesimply.com/guides/admission-data//colleges/maine/bates-college/admission/
42,Davidson College,LAC,South,9.0,0.22,3.9,670.0,750.0,650.0,750.0,1320.0,1500.0,1320,1500,29,32,29.0,32.0,,North Carolina,http://www.collegesimply.com/guides/admission-data//colleges/north-carolina/davidson-college/admission/
1231,Wesleyan University,National,New England,21.0,0.22,3.73,680.0,760.0,650.0,760.0,1330.0,1520.0,-,-,-,-,29.0,33.0,TO,Connecticut,http://www.collegesimply.com/guides/admission-data//colleges/connecticut/wesleyan-university/admission/
36,Colby College,LAC,New England,12.0,0.23,-,680.0,750.0,660.0,760.0,1340.0,1510.0,1340,1510,29,32,29.0,32.0,TF,Maine,http://www.collegesimply.com/guides/admission-data//colleges/maine/colby-college/admission/
550,Art Academy of Cincinnati,,,,0.23,-,,,,,,,890,1120,18,23,,,,Ohio,http://www.collegesimply.com/guides/admission-data//colleges/ohio/art-academy-of-cincinnati/admission/
44,Washington and Lee University,National,South,11.0,0.24,-,700.0,750.0,690.0,760.0,1390.0,1510.0,1390,1510,30,33,30.0,33.0,,Virginia,http://www.collegesimply.com/guides/admission-data//colleges/virginia/washington-and-lee-university/admission/
31,Carnegie Mellon University,National,Mid-Atlantic,24.0,0.24,3.69,700.0,770.0,740.0,800.0,1440.0,1570.0,1440,1570,31,34,31.0,34.0,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/carnegie-mellon-university/admission/
1260,Robert Morris University Illinois,,,,0.24,2.73,,,,,,,-,-,-,-,,,,Illinois,http://www.collegesimply.com/guides/admission-data//colleges/illinois/robert-morris-university-illinois/admission/
322,Piedmont International University,,,,0.24,-,,,,,,,750,1220,15,23,,,,North Carolina,http://www.collegesimply.com/guides/admission-data//colleges/north-carolina/piedmont-international-university/admission/
34,Emory University,National,South,20.0,0.24,3.8,680.0,750.0,670.0,780.0,1350.0,1530.0,1350,1530,29,33,29.0,33.0,,Georgia,http://www.collegesimply.com/guides/admission-data//colleges/georgia/emory-university/admission/
1238,Florida Memorial University,,,,0.24,-,,,,,,,-,-,-,-,,,,Florida,http://www.collegesimply.com/guides/admission-data//colleges/florida/florida-memorial-university/admission/
147,New Mexico Institute of Mining and Technology,,,,0.24,3.68,,,,,,,1160,1390,23,29,,,,New Mexico,http://www.collegesimply.com/guides/admission-data//colleges/new-mexico/new-mexico-institute-of-mining-and-technology/admission/
35,Grinnell College,LAC,Midwest,19.0,0.25,-,680.0,760.0,690.0,780.0,1370.0,1540.0,1360,1540,30,33,30.0,33.0,,Iowa,http://www.collegesimply.com/guides/admission-data//colleges/iowa/grinnell-college/admission/
49,Bucknell University,National,Mid-Atlantic,31.0,0.25,3.54,650.0,720.0,640.0,740.0,1290.0,1460.0,1290,1460,28,32,28.0,32.0,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/bucknell-university/admission/
1349,Hamilton College,LAC,Mid-Atlantic,12.0,0.25,-,700.0,760.0,670.0,760.0,1370.0,1520.0,-,-,-,-,31.0,33.0,TF,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/hamilton-college/admission/
1212,California Institute of the Arts,,,,0.25,-,,,,,,,-,-,-,-,,,,California,http://www.collegesimply.com/guides/admission-data//colleges/california/california-institute-of-the-arts/admission/
32,Haverford College,LAC,Mid-Atlantic,12.0,0.25,-,710.0,780.0,690.0,780.0,1400.0,1560.0,1400,1560,31,34,31.0,34.0,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/haverford-college/admission/
